permissions,links,owner,group,size,month,day,time,name
-rw-r--r--,1,root,root,2452,Aug,1,2019,admin.php
-rw-r--r--,1,root,root,77127,Aug,1,2019,ajax-actions.php
-rw-r--r--,1,root,root,8708,Aug,1,2019,bookmark.php
-rw-r--r--,1,root,root,26850,Aug,1,2019,class-ftp.php
-rw-r--r--,1,root,root,5477,Aug,1,2019,class-ftp-pure.php
-rw-r--r--,1,root,root,8532,Aug,1,2019,class-ftp-sockets.php
-rw-r--r--,1,root,root,195618,Aug,1,2019,class-pclzip.php
-rw-r--r--,1,root,root,22795,Aug,1,2019,class-wp-comments-list-table.php
-rw-r--r--,1,root,root,22659,Aug,1,2019,class-wp-filesystem-base.php
-rw-r--r--,1,root,root,9784,Aug,1,2019,class-wp-filesystem-direct.php
-rw-r--r--,1,root,root,11252,Aug,1,2019,class-wp-filesystem-ftpext.php
-rw-r--r--,1,root,root,8371,Aug,1,2019,class-wp-filesystem-ftpsockets.php
-rw-r--r--,1,root,root,11953,Aug,1,2019,class-wp-filesystem-ssh2.php
-rw-r--r--,1,root,root,6877,Aug,1,2019,class-wp-importer.php
-rw-r--r--,1,root,root,6203,Aug,1,2019,class-wp-links-list-table.php
-rw-r--r--,1,root,root,28340,Aug,1,2019,class-wp-list-table.php
-rw-r--r--,1,root,root,18936,Aug,1,2019,class-wp-media-list-table.php
-rw-r--r--,1,root,root,15401,Aug,1,2019,class-wp-ms-sites-list-table.php
-rw-r--r--,1,root,root,15174,Aug,1,2019,class-wp-ms-themes-list-table.php
-rw-r--r--,1,root,root,9988,Aug,1,2019,class-wp-ms-users-list-table.php
-rw-r--r--,1,root,root,15225,Aug,1,2019,class-wp-plugin-install-list-table.php
-rw-r--r--,1,root,root,24096,Aug,1,2019,class-wp-plugins-list-table.php
-rw-r--r--,1,root,root,42841,Aug,1,2019,class-wp-posts-list-table.php
-rw-r--r--,1,root,root,14718,Aug,1,2019,class-wp-terms-list-table.php
-rw-r--r--,1,root,root,13941,Aug,1,2019,class-wp-theme-install-list-table.php
-rw-r--r--,1,root,root,9477,Aug,1,2019,class-wp-themes-list-table.php
-rw-r--r--,1,root,root,94030,Aug,1,2019,class-wp-upgrader.php
-rw-r--r--,1,root,root,28570,Aug,1,2019,class-wp-upgrader-skins.php
-rw-r--r--,1,root,root,13401,Aug,1,2019,class-wp-users-list-table.php
-rw-r--r--,1,root,root,4951,Aug,1,2019,comment.php
-rw-r--r--,1,root,root,17877,Aug,1,2019,continents-cities.php
-rw-r--r--,1,root,root,46839,Aug,1,2019,dashboard.php
-rw-r--r--,1,root,root,29200,Aug,1,2019,deprecated.php
-rw-r--r--,1,root,root,18019,Aug,1,2019,export.php
-rw-r--r--,1,root,root,45238,Aug,1,2019,file.php
-rw-r--r--,1,root,root,29538,Aug,1,2019,image-edit.php
-rw-r--r--,1,root,root,19458,Aug,1,2019,image.php
-rw-r--r--,1,root,root,6261,Aug,1,2019,import.php
-rw-r--r--,1,root,root,3214,Aug,1,2019,list-table.php
-rw-r--r--,1,root,root,98257,Aug,1,2019,media.php
